"IDalimentos","Categoria","Nombre","Unidades","Cantidad","imagen","fecha de vencimiento","NombreCategoria","Precio","Total","Agregar Cantidad","Fecha","Descontar cant de ventas?","Notificar a whatsapp","apartir de cantidad","Enviar si o no","Disponible","Contador","Image Url","Llevar control en caja","Contador 2","imagencard","createdAt","updatedAt"
"00eecdcc","0d04f633","Fresa intensa SL","TARRO 6L",24,"",NULL,NULL,NULL,"$0.00",NULL,"2025-08-14","NO","NO",NULL,"NO ENVIAR","Disponible: 5",NULL,NULL,"NO",NULL,"",NULL,NULL
"0198226c","0d04f632","Mora Azul","TARRO 6L",152,"",NULL,NULL,"$32,000.00","$4,864,000.00",NULL,"2025-12-24","NO","SI",2,"NO ENVIAR","Disponible: 5",15,"https://www.appsheet.com/template/gettablefileurl?appName=QHuboMor-7868274&tableName=INSUMOS&fileName=",NULL,48,NULL,NULL,NULL
"01c93a61","d30a10d9","Chips de chocolate","500 Gr",7,"INSUMOS_Images/01c93a61.imagen.222510.jpg",NULL,NULL,"$11,800.00","$82,600.00",NULL,"2025-06-05","NO","NO",NULL,"NO ENVIAR","Disponible: 0",NULL,"","NO",4,NULL,NULL,NULL
"02ed641f","0d04f632","Piña colada","TARRO 6L",7,"",NULL,NULL,"$55,000.00","$385,000.00",NULL,"2025-02-28","NO","NO",NULL,"NO ENVIAR","Disponible: 0",1,"https://www.appsheet.com/template/gettablefileurl?appName=QHuboMor-7868274&tableName=INSUMOS&fileName=",NULL,6,NULL,NULL,NULL
"0575abd2","e7600118","Paños D1","Paquete 120 unidades",2,"",NULL,NULL,"$5,000.00","$10,000.00",NULL,"2025-06-09","NO","NO",1,"ENVIAR","Disponible: 0",44,NULL,"NO",3,"https://www.appsheet.com/image/getimageurl?appName=QHuboMorv21-7868274&tableName=INSUMOS&fileName=IMAGENES%2F0575abd2_20250514_153607.png",NULL,NULL
"0ddb71f2","d30a10d9","Cintas acidas trululu","TARRO X120",245,"INSUMOS_Images/0ddb71f2.imagen.162630.png",NULL,NULL,"$21,500.00","$5,267,500.00",NULL,"2025-11-30","NO","NO",3,"ENVIAR","Disponible: 0",2,"","NO",73,"https://www.appsheet.com/image/getimageurl?appName=QHuboMorv21-7868274&tableName=INSUMOS&fileName=IMAGENES%2F0ddb71f2_20250824_143333.png",NULL,NULL
"0e9b9051","d30a10d9","Trululu nano*13","Paquete×13",379,"INSUMOS_Images/0e9b9051.imagen.150808.jpg",NULL,NULL,"$1,667.00","$631,793.00",NULL,"2025-12-31","NO","NO",NULL,"NO ENVIAR","Disponible: 144",NULL,NULL,"NO",NULL,"",NULL,NULL
"105a563c","4ff5b09a","Copas 1 onz","PAQUETES X100",3,"",NULL,NULL,"$3,700.00","$11,100.00",NULL,"2025-06-20","NO","NO",NULL,"NO ENVIAR","Disponible: 2",NULL,NULL,"NO",NULL,"",NULL,NULL
"1177b27a","d30a10d9","Boli pop","Bolsa 1Kg",11,"INSUMOS_Images/1177b27a.imagen.164818.jpg",NULL,NULL,"$30,800.00","$338,800.00",NULL,"2025-10-29","NO","NO",NULL,"NO ENVIAR","Disponible: 0",NULL,NULL,"NO",NULL,NULL,NULL,NULL
"11c3f9ec","4ff5b09a","Copas 0.5 onz","PAQUETES X100",15,"",NULL,NULL,"$3,800.00","$57,000.00",2,"2025-12-22","NO","NO",NULL,"NO ENVIAR","Disponible: 4",NULL,NULL,"NO",NULL,"",NULL,NULL
