"IDinventario","Nombre","Fecha y hora","Tipo","Total","Descuento","createdAt","updatedAt"
"000da059","Mezclas","2024-12-31 14:56:00","SALIDAS","$0.00","$0.00",NULL,NULL
"0015e5b5","Mezclas","2025-08-10 13:14:00","SALIDAS","$0.00","$0.00",NULL,NULL
"002172b3","Mezclas","2025-11-27 15:27:00","SALIDAS","$0.00","$0.00",NULL,NULL
"00f76969","Paletas, chicle anaconda, trolli anillos, cintas","2025-04-04 13:54:00","ENTRADAS","$0.00","$0.00",NULL,NULL
"0287ee59","Mezclas","2025-02-14 16:29:00","SALIDAS","$0.00","$0.00",NULL,NULL
"034b40d7","Vasos y demas","2025-07-11 08:48:00","ENTRADAS","$0.00","$0.00",NULL,NULL
"038f9b41","Chicles y okaloka","2025-05-03 09:28:00","ENTRADAS","$0.00","$0.00",NULL,NULL
"03f85b6c","Mezclas","2024-11-27 15:50:00","SALIDAS","$0.00","$0.00",NULL,NULL
"0414caf9","Mezclas","2025-12-30 16:11:00","SALIDAS","$0.00","$0.00",NULL,NULL
"0726cd3a","Mezclas","2025-07-16 15:12:00","SALIDAS","$0.00","$0.00",NULL,NULL
"074c023e","Mezclas","2025-07-17 15:50:00","SALIDAS","$0.00","$0.00",NULL,NULL
"07b10899","Mezclas","2025-07-09 15:13:00","SALIDAS","$0.00","$0.00",NULL,NULL
"0a20834b","Mezclas","2025-07-12 14:39:00","SALIDAS","$0.00","$0.00",NULL,NULL
"0a2cfb6c","Mezclas","2025-11-22 13:56:00","SALIDAS","$0.00","$0.00",NULL,NULL
"0b1f79d7","Dulces","2025-12-27 10:18:00","ENTRADAS","$0.00","$0.00",NULL,NULL
"0bb855a1","Vasos","2025-04-25 14:46:00","ENTRADAS","$0.00","$0.00",NULL,NULL
"0c54448e","Mezclas","2025-01-10 14:36:00","SALIDAS","$0.00","$0.00",NULL,NULL
"0cacbc17","Gomas","2025-08-09 09:04:00","ENTRADAS","$0.00","$0.00",NULL,NULL
"0da387bc","Mezclas","2025-04-06 13:11:00","SALIDAS","$0.00","$0.00",NULL,NULL
"0e5c2173","Vasos","2025-04-02 10:37:00","ENTRADAS","$0.00","$0.00",NULL,NULL
"0f03abc2","Mezclas que no estan y gomas","2024-11-06 10:26:00","SALIDAS","$0.00","$0.00",NULL,NULL
"0f537408","Mezclas","2026-01-03 09:32:00","SALIDAS","$0.00","$0.00",NULL,NULL
"0fbff10d","Dulces","2025-02-07 23:40:00","ENTRADAS","$0.00","$0.00",NULL,NULL
"10538191","Icopores","2025-11-08 09:23:00","ENTRADAS","$0.00","$0.00",NULL,NULL
"117db10a","Mezclas","2025-08-15 14:33:00","SALIDAS","$0.00","$0.00",NULL,NULL
"11f6d95b","Mezclas","2025-12-25 14:21:00","SALIDAS","$0.00","$0.00",NULL,NULL
"12891434","Mezclas","2024-12-07 14:14:00","SALIDAS","$0.00","$0.00",NULL,NULL
"133a1d83","Pitillos y vasos","2025-06-07 09:44:00","ENTRADAS","$0.00","$0.00",NULL,NULL
