"IDproductos","Categoria","Categoria_Nombre","Nombre","Mostrar","Cantidad","Precio Unitario","Image","ImagenUrl","IDventas","Fecha de Cantidad agregada","Cantidad Agregada","Precio de compra","Unidades","Descontar","Combo","Llevar control en caja","Orden","Stock_Filtro"
"1d3a73ac","8896f461","CREMOSOS","PROMO 2","no",NULL,"$10,000.00","","https://www.appsheet.com/template/gettablefileurl?appName=QHuboMor-7868274&tableName=PRODUCTOS&fileName=",NULL,"2024-01-08 09:58:19",NULL,NULL,NULL,"NO LLEVARLE EL INVENTARIO","No","NO",NULL,NULL
"2061a24e","c871d8c7","MINIBOTELLAS","Jack daniels",NULL,NULL,"$15,000.00","",NULL,NULL,"2025-05-25 14:48:32",NULL,NULL,NULL,"NO LLEVARLE EL INVENTARIO","No","NO",NULL,NULL
"29ab6c8a","c871d8c7","MINIBOTELLAS","Absolut",NULL,NULL,"$10,000.00","",NULL,NULL,"2025-05-25 14:48:58",NULL,NULL,NULL,"NO LLEVARLE EL INVENTARIO","No","NO",NULL,NULL
"3ca2a346","8896f463","PROMOS","DIA DE LA MUJER LICOR","no",NULL,"$0.00","","https://www.appsheet.com/template/gettablefileurl?appName=QHuboMor-7868274&tableName=PRODUCTOS&fileName=",NULL,"2024-03-08 13:56:31",NULL,NULL,NULL,"NO LLEVARLE EL INVENTARIO","No","NO",10,NULL
"57f39b71","8896f463","PROMOS","PROMO cremoso 24 onz",NULL,NULL,"$20,000.00","","",NULL,"2025-01-24 16:33:40",NULL,NULL,NULL,"NO LLEVARLE EL INVENTARIO","No","NO",7,NULL
"5c0f4c51","8896f463","PROMOS","ADICIONAL GOMAS GRATIS",NULL,NULL,"$0.00","",NULL,NULL,"2025-12-20 14:26:06",NULL,NULL,NULL,"NO LLEVARLE EL INVENTARIO","No","NO",NULL,NULL
"8a734bcd","8896f462","LO MAS VENDIDO","Shot de tequila","si",NULL,"$5,000.00","PRODUCTOS_Images/8a734bcd.Image.232649.jpg","https://www.appsheet.com/template/gettablefileurl?appName=QHuboMor-7868274&tableName=PRODUCTOS&fileName=PRODUCTOS_Images/8a734bcd.Image.232649.jpg",NULL,"2024-03-30 19:47:46",NULL,NULL,NULL,"NO LLEVARLE EL INVENTARIO","No","SI",5,NULL
"8f6e9d39","8896f463","PROMOS","Extra shoot GRATIS",NULL,NULL,"$0.00","",NULL,NULL,"2025-12-20 14:25:32",NULL,NULL,NULL,"NO LLEVARLE EL INVENTARIO","No","NO",NULL,NULL
"8fe1afcd","8896f462","LO MAS VENDIDO","TAPA DE 24 ONZ",NULL,NULL,"$1,000.00","",NULL,NULL,"2026-01-10 15:24:42",NULL,NULL,NULL,"NO LLEVARLE EL INVENTARIO","No","NO",NULL,NULL
"9c172aed","8896f462","LO MAS VENDIDO","Paquete de fruta con Precio",NULL,NULL,"$2,000.00","PRODUCTOS_Images/9c172aed.Image.183629.png",NULL,NULL,"2025-05-25 14:46:12",NULL,NULL,NULL,"NO LLEVARLE EL INVENTARIO","No","SI",NULL,NULL
