"IDventas","Fecha y hora","Escanear","Producto","Estado","MESA","FECHA","HORA","Efectivo Recibido","Devueltas","Icon","Direccion","Costo del Domicilio","% de descuento","Descuento","Medio de pago","BANCO","Valor de transferencia","Pedido","AGREGAR PRODUCTOS","Usuario","Numero telefono","Mensaje","TOTAL INPUT","Clente","Compras","createdAt","updatedAt"
"7ea1a3fd","2026-04-29 17:00:22","LO MAS VENDIDO",NULL,"PAGADO","V.R","2026-04-29","1899-12-30 17:00:22",NULL,"-$16,000.00","https://via.placeholder.com/100x100?text=V.R",NULL,NULL,"0","$0.00","EFECTIVO","DAVIPLTATA",NULL,"V.R-Q-6898",NULL,"qhubomor35@gmail.com",NULL,NULL,"$16,000.00",NULL,NULL,NULL,NULL
"d0487410","2026-04-29 17:06:59","LO MAS VENDIDO",NULL,"PAGADO","V.R","2026-04-29","1899-12-30 17:06:59","$50,000.00","$23,000.00","https://via.placeholder.com/100x100?text=V.R",NULL,NULL,"0","$0.00","EFECTIVO","DAVIPLTATA",NULL,"V.R-Q-1723",NULL,"qhubomor35@gmail.com",NULL,NULL,"$27,000.00",NULL,NULL,NULL,NULL
"1c9becaa","2026-04-29 16:49:54","LO MAS VENDIDO",NULL,"PAGADO","V.R","2026-04-29","1899-12-30 16:49:54",NULL,"-$8,000.00","https://via.placeholder.com/100x100?text=V.R",NULL,NULL,"0","$0.00","EFECTIVO","DAVIPLTATA",NULL,"V.R-Q-4418",NULL,"qhubomor35@gmail.com",NULL,NULL,"$8,000.00",NULL,NULL,NULL,NULL
"29f0a431","2026-04-29 16:51:33","LO MAS VENDIDO",NULL,"PAGADO","V.R","2026-04-29","1899-12-30 16:51:33","$20,000.00","$4,000.00","https://via.placeholder.com/100x100?text=V.R",NULL,NULL,"0","$0.00","EFECTIVO","DAVIPLTATA",NULL,"V.R-Q-8683",NULL,"qhubomor35@gmail.com",NULL,NULL,"$16,000.00",NULL,NULL,NULL,NULL
"d360399d","2026-04-29 17:02:19","LO MAS VENDIDO",NULL,"PAGADO","V.R","2026-04-29","1899-12-30 17:02:19",NULL,"-$8,000.00","https://via.placeholder.com/100x100?text=V.R",NULL,NULL,"0","$0.00","EFECTIVO","DAVIPLTATA",NULL,"V.R-Q-8070",NULL,"qhubomor35@gmail.com",NULL,NULL,"$8,000.00",NULL,NULL,NULL,NULL
"e7fac77f","2026-04-29 17:06:23","LO MAS VENDIDO",NULL,"PAGADO","V.R","2026-04-29","1899-12-30 17:06:23",NULL,"-$16,000.00","https://via.placeholder.com/100x100?text=V.R",NULL,NULL,"0","$0.00","EFECTIVO","DAVIPLTATA",NULL,"V.R-Q-2128",NULL,"qhubomor35@gmail.com",NULL,NULL,"$16,000.00",NULL,NULL,NULL,NULL
"c36b0426","2026-04-29 16:38:53","LO MAS VENDIDO",NULL,"PAGADO","V.R","2026-04-29","1899-12-30 16:38:53","$40,000.00","$12,000.00","https://via.placeholder.com/100x100?text=V.R",NULL,NULL,"0","$0.00","EFECTIVO","DAVIPLTATA",NULL,"V.R-Q-1127",NULL,"qhubomor35@gmail.com",NULL,NULL,"$28,000.00",NULL,NULL,NULL,NULL
"fd96269a","2026-04-29 16:43:57","LO MAS VENDIDO",NULL,"PAGADO","V.R","2026-04-29","1899-12-30 16:43:57","$50,000.00","$42,000.00","https://via.placeholder.com/100x100?text=V.R",NULL,NULL,"0","$0.00","EFECTIVO","DAVIPLTATA",NULL,"V.R-Q-3490",NULL,"qhubomor35@gmail.com",NULL,NULL,"$8,000.00",NULL,NULL,NULL,NULL
"4e63879d","2026-04-29 16:50:28","LO MAS VENDIDO",NULL,"PAGADO","V.R","2026-04-29","1899-12-30 16:50:28",NULL,"-$8,000.00","https://via.placeholder.com/100x100?text=V.R",NULL,NULL,"0","$0.00","TRASNFERENCIA","DAVIPLTATA",NULL,"V.R-Q-9031",NULL,"qhubomor35@gmail.com",NULL,NULL,"$8,000.00",NULL,NULL,NULL,NULL
"3772afc6","2026-04-29 17:14:27","LO MAS VENDIDO",NULL,"PAGADO","V.R","2026-04-29","1899-12-30 17:14:27","$20,000.00","$8,000.00","https://via.placeholder.com/100x100?text=V.R",NULL,NULL,"0","$0.00","EFECTIVO","DAVIPLTATA",NULL,"V.R-Q-8155",NULL,"qhubomor35@gmail.com",NULL,NULL,"$12,000.00",NULL,NULL,NULL,NULL
