IDorderventas;IDventas;Categoria;Nombre;Cantidad;Precio;Precio total;Estado;Comentarios;Imagen;fecha;SALSA;HELADO;TOPINGS;CategoriaProducto;ImagenUrl;NombreProducto;createdAt;productoId;updatedAt;usuarioId
cmom66gey0008k0qnr0mopdgi;cmom66fuj0006k0qnlqlty8ts;CREMOSOS;Cremoso 24 Onz;1;$20,000.00;$20,000.00;completada;NULL;NULL;1/05/2026;NULL;NULL;NULL;CREMOSOS;https://www.appsheet.com/template/gettablefileurl?appName=QHuboMor-7868274&tableName=PRODUCTOS&fileName=PRODUCTOS_Images/9f390fc14.Image.145200.png;Cremoso 24 Onz;NULL;9f390fc14;NULL;cmom4whz80000k0qnjs8qb3sc
cmom7w9ju0005aupg5yp4i38v;cmom7w8yj0003aupgj4d9viea;LO MAS VENDIDO;Normal 12 Onz Con licor;2;$12,000.00;$24,000.00;COMPLETADA;NULL;NULL;1/05/2026;NULL;NULL;NULL;LO MAS VENDIDO;https://www.appsheet.com/template/gettablefileurl?appName=QHuboMor-7868274&tableName=PRODUCTOS&fileName=PRODUCTOS_Images/9f390fc10.Image.145058.png;Normal 12 Onz Con licor;NULL;9f390fc10;NULL;cmom4whz80000k0qnjs8qb3sc
cmom7w9oy0007aupgga1s0m92;cmom7w8yj0003aupgj4d9viea;LO MAS VENDIDO;Tapas domicilio;1;$1,000.00;$1,000.00;COMPLETADA;NULL;NULL;1/05/2026;NULL;NULL;NULL;LO MAS VENDIDO;PRODUCTOS_Images/e852ea91.Image.183922.jpg;Tapas domicilio;NULL;e852ea91;NULL;cmom4whz80000k0qnjs8qb3sc
cmom7w9oy0009aupgbvr8nosv;cmom7w8yj0003aupgj4d9viea;LO MAS VENDIDO;Adicional de gomas;1;$2,000.00;$2,000.00;COMPLETADA;NULL;NULL;1/05/2026;NULL;NULL;NULL;LO MAS VENDIDO;PRODUCTOS_Images/b5a797f3.Image.183751.jpg;Adicional de gomas;NULL;b5a797f3;NULL;cmom4whz80000k0qnjs8qb3sc
cmomag4dq000faupgkh8y131o;cmomag3tj000daupg0c8fdvht;LO MAS VENDIDO;Normal 12 Onz Con licor;2;$12,000.00;$24,000.00;PAGADO;NULL;NULL;1/05/2026;NULL;NULL;NULL;LO MAS VENDIDO;https://www.appsheet.com/template/gettablefileurl?appName=QHuboMor-7868274&tableName=PRODUCTOS&fileName=PRODUCTOS_Images/9f390fc10.Image.145058.png;Normal 12 Onz Con licor;NULL;9f390fc10;NULL;cmom4whz80000k0qnjs8qb3sc
cmomag4dr000haupgph8e1jrg;cmomag3tj000daupg0c8fdvht;LO MAS VENDIDO;Normal 24 Onz;1;$20,000.00;$20,000.00;PAGADO;NULL;NULL;1/05/2026;NULL;NULL;NULL;LO MAS VENDIDO;https://www.appsheet.com/template/gettablefileurl?appName=QHuboMor-7868274&tableName=PRODUCTOS&fileName=PRODUCTOS_Images/9f390fc12.Image.145116.png;Normal 24 Onz;NULL;9f390fc12;NULL;cmom4whz80000k0qnjs8qb3sc
cmomhehiu000laupghaschy1f;cmomhegzk000jaupgwrvizqdb;LO MAS VENDIDO;Normal 12 Onz Con licor;1;$12,000.00;$12,000.00;PAGADO;NULL;NULL;1/05/2026;NULL;NULL;NULL;LO MAS VENDIDO;https://www.appsheet.com/template/gettablefileurl?appName=QHuboMor-7868274&tableName=PRODUCTOS&fileName=PRODUCTOS_Images/9f390fc10.Image.145058.png;Normal 12 Onz Con licor;NULL;9f390fc10;NULL;cmom4whz80000k0qnjs8qb3sc
cmomhie61000paupgpiafngdp;cmomhidwg000naupgz9lwy1tv;LO MAS VENDIDO;Normal 12 Onz Con licor;1;$12,000.00;$12,000.00;TOMADO;NULL;NULL;1/05/2026;NULL;NULL;NULL;LO MAS VENDIDO;https://www.appsheet.com/template/gettablefileurl?appName=QHuboMor-7868274&tableName=PRODUCTOS&fileName=PRODUCTOS_Images/9f390fc10.Image.145058.png;Normal 12 Onz Con licor;NULL;9f390fc10;NULL;cmom4whz80000k0qnjs8qb3sc
cmomhoidb000taupgcxv0s0n5;cmomhohsn000raupgmsyzt4mn;LO MAS VENDIDO;Normal 12 Onz Con licor;1;$12,000.00;$12,000.00;PAGADO;NULL;NULL;1/05/2026;NULL;NULL;NULL;LO MAS VENDIDO;https://www.appsheet.com/template/gettablefileurl?appName=QHuboMor-7868274&tableName=PRODUCTOS&fileName=PRODUCTOS_Images/9f390fc10.Image.145058.png;Normal 12 Onz Con licor;NULL;9f390fc10;NULL;cmom4whz80000k0qnjs8qb3sc
cmomhpd32000xaupgt4ezgfnu;cmomhpcic000vaupgl2z973i7;LO MAS VENDIDO;Tapas domicilio;1;$1,000.00;$1,000.00;PAGADO;NULL;NULL;1/05/2026;NULL;NULL;NULL;LO MAS VENDIDO;PRODUCTOS_Images/e852ea91.Image.183922.jpg;Tapas domicilio;NULL;e852ea91;NULL;cmom4whz80000k0qnjs8qb3sc
