"IDventas","Fecha y hora","Escanear","Producto","Estado","MESA","FECHA","HORA","Efectivo Recibido","Devueltas","Icon","Direccion","Costo del Domicilio","% de descuento","Descuento","Medio de pago","BANCO","Valor de transferencia","Pedido","AGREGAR PRODUCTOS","Usuario","Numero telefono","Mensaje","TOTAL INPUT","Clente","Compras","createdAt","updatedAt","deleteReason","deletedAt","deletedBy"
"cmot4d0160001dpqs0wa917sq","2026-05-05 21:07:10.3",NULL,NULL,"PAGADO",NULL,"2026-05-05","16:07:10","$200,000.00","$76,000.00",NULL,NULL,NULL,NULL,"$0.00","EFECTIVO","NEQUI",NULL,"V.R-P-001",NULL,"cmom4whz80000k0qnjs8qb3sc",NULL,NULL,"$124,000.00",NULL,NULL,NULL,NULL,"Eliminación masiva por administrador","2026-05-06 01:40:50.601","cmom4whz80000k0qnjs8qb3sc"
"cmot4rd420001sr3qaiovtgun","2026-05-05 21:18:20.448",NULL,NULL,"PAGADO",NULL,"2026-05-05","16:18:20","$13,000.00","$0.00",NULL,NULL,NULL,"0","$0.00","EFECTIVO","NEQUI",NULL,"V.R-P-002",NULL,"cmom4whz80000k0qnjs8qb3sc",NULL,NULL,"$13,000.00",NULL,NULL,NULL,NULL,"Eliminación masiva por administrador","2026-05-06 01:40:50.601","cmom4whz80000k0qnjs8qb3sc"
"cmot4sf4s0007sr3qkc18zsxu","2026-05-05 21:19:09.723",NULL,NULL,"PAGADO",NULL,"2026-05-05","16:19:09","$22,000.00","$0.00",NULL,NULL,NULL,"0","$0.00","EFECTIVO","NEQUI",NULL,"V.R-P-003",NULL,"cmom4whz80000k0qnjs8qb3sc",NULL,NULL,"$22,000.00",NULL,NULL,NULL,NULL,"Eliminación masiva por administrador","2026-05-06 01:40:50.601","cmom4whz80000k0qnjs8qb3sc"
"cmot9rrkm000fsr3qlaxn7jkw","2026-05-05 23:38:37.268",NULL,NULL,"PAGADO",NULL,"2026-05-05","18:38:37","$35,000.00","$0.00",NULL,NULL,NULL,"0","$0.00","EFECTIVO","NEQUI",NULL,"V.R-P-004",NULL,"cmom4whz80000k0qnjs8qb3sc",NULL,NULL,"$35,000.00",NULL,NULL,NULL,NULL,"Eliminación masiva por administrador","2026-05-06 01:40:50.601","cmom4whz80000k0qnjs8qb3sc"
"cmothx5av000j13hpd06jgy18","2026-05-06 03:26:45.27",NULL,NULL,"PAGADO","690e0721","2026-05-06","22:26:45","$13,000.00","$0.00",NULL,NULL,NULL,"0","$0.00","EFECTIVO","NEQUI",NULL,"DOMI-P-005",NULL,"cmom4whz80000k0qnjs8qb3sc",NULL,NULL,"$13,000.00",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"cmothxxut000p13hpra4vi81x","2026-05-06 03:27:22.276",NULL,NULL,"PAGADO",NULL,"2026-05-06","22:27:22","$24,000.00","$0.00",NULL,NULL,NULL,"0","$0.00","TRANSFERENCIA","NEQUI",NULL,"V.R-P-006",NULL,"cmom4whz80000k0qnjs8qb3sc",NULL,NULL,"$24,000.00",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"cmothyeio000t13hp7v63foe8","2026-05-06 03:27:43.871",NULL,NULL,"PAGADO",NULL,"2026-05-06","22:27:43","$27,200.00","$0.00",NULL,NULL,NULL,"0.15","$4,800.00","EFECTIVO",NULL,NULL,"V.R-P-007",NULL,"cmom4whz80000k0qnjs8qb3sc",NULL,NULL,"$27,200.00",NULL,NULL,NULL,NULL,"Eliminado por administrador","2026-05-06 03:28:11.185","cmom4whz80000k0qnjs8qb3sc"
"cmotikp8n000z13hpfqmcdbia","2026-05-06 03:45:04.198",NULL,NULL,"PAGADO",NULL,"2026-05-06","22:45:04","$21,000.00","$0.00",NULL,NULL,NULL,"0.15","$3,000.00","EFECTIVO","NEQUI",NULL,"V.R-P-008",NULL,"cmom4whz80000k0qnjs8qb3sc",NULL,NULL,"$21,000.00",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"cmotixjfn0001rjjrg531ufr0","2026-05-06 03:55:03.2",NULL,NULL,"PAGADO",NULL,"2026-05-06","22:55:03","$14,000.00","$0.00",NULL,NULL,NULL,"0","$0.00","EFECTIVO","NEQUI",NULL,"V.R-P-009",NULL,"cmom4whz80000k0qnjs8qb3sc",NULL,NULL,"$14,000.00",NULL,NULL,NULL,NULL,NULL,NULL,NULL


